"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"544","Paul",6,2,10,"Chocolate, Hazelnut and Fig Biscotti","Memory Box","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"545","Sandy",6,2,4,"Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box","IN","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"546","Tamal",6,2,8,"Cinnamon, Maple and Cranberry Biscotti","Chessboard Box","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"547","Ugnė",6,2,7,"White Wine Biscotti","Baby Climbing into the Cookie Box","IN","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"548","Marie",6,2,11,"Biscotti Italiano","Russian Box","OUT","Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"549","Ian",6,2,3,"Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture","STAR BAKER","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"550","Stu",6,2,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"551","Alvin",6,3,4,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia","IN","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"552","Flora",6,3,2,"Fig and Hazelnut Rye Breads","Herb Couture","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"553","Mat",6,3,8,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion","IN","Mat Riley",37,"Fire fighter","London"
"554","Nadiya",6,3,9,"Mexican Bread with Warm Tomato Salsa","Snake Charmer's Basket","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"555","Paul",6,3,10,"Cranberry and Orange Sweet Soda Breads","King of the Jungle","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"556","Sandy",6,3,7,"Soda Breads with Smoked Bacon and Onion","Basket of Bread Flowers with a Walnut and Blue Cheese Centre","IN","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"557","Tamal",6,3,3,"Fig, Cheese and Walnut Breads","Breadcycle","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"558","Ugnė",6,3,5,"Chocolate Quick Breads with Salted Caramel Sauce","Easter Basket","IN","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"559","Dorret",6,3,6,"Walnut and Stilton Soda Breads","Unmade Bread","OUT","Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"560","Ian",6,3,1,"Wild Garlic Pesto Soda Breads","Flour Power","STAR BAKER","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"561","Marie",6,3,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"562","Stu",6,3,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"563","Alvin",6,4,9,"Blackberry Crème Brûlées","Tower of Fruits Cheesecakes","IN","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"564","Flora",6,4,3,"Rhubarb and Ginger Crème Brûlées","Elderflower and Granola Cheesecakes","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"565","Mat",6,4,7,"Coconut Crème Brûlées","Chocolate Bar Cheesecakes","IN","Mat Riley",37,"Fire fighter","London"
"566","Nadiya",6,4,8,"Cinnamon Tea Crème Brûlées","Fizzy Pop Cheesecakes","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"567","Paul",6,4,1,"Almond Crème Brûlées","Berry Cheesecake Tower","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"568","Tamal",6,4,5,"Rhubarb and Ginger Crème Brûlées","Mango, Hazelnut and Rosemary Cheesecake Trio","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"569","Ugnė",6,4,2,"Marula Fruit and Coffee Liqueur Crème Brûlées","Lime, Coconut and Hazelnut Cheesecakes","IN","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"570","Sandy",6,4,6,"Pontefract Crème Brûlées","Cassata, Whisky and Orange & Apple Pie Cheesecakes","OUT","Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"571","Ian",6,4,4,"Pomegranate Two Ways Crème Brûlées","Trio of Spicy and Herby Baked Cheesecakes","STAR BAKER","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"572","Dorret",6,4,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"573","Marie",6,4,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"574","Stu",6,4,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"575","Alvin",6,5,8,"Pineapple Upside Down Cake","Buko Pandan, Mango and Passion Fruit Ice Cream Roll","IN","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"576","Flora",6,5,3,"Pistachio, Apple and Cardamom Madeleine Cake","Chocolate and Pear Bûche","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"577","Ian",6,5,5,"Honey and Flowers Cake","Dessert Island","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"578","Mat",6,5,4,"Sugar Free Carrot Cake","Raspberry and Coconut Ice Cream Roll","IN","Mat Riley",37,"Fire fighter","London"
"579","Paul",6,5,2,"Carrot & Pecan Cake","Dessert Island Getaway","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"580","Tamal",6,5,7,"Honey and Grapefruit Polenta Cake","Passion Fruit and Pineapple Ice Cream Roll","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"581","Ugnė",6,5,6,"Chocolate and Hazelnut Sugar-Free Cake","Chocolate, Peanut Butter and Grape Jam Roll","OUT","Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"582","Nadiya",6,5,1,"Naked Blueberry and Caraway Crunch Cake","Chocolate and Strawberry Lime Ice Cream Roll","STAR BAKER","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"583","Dorret",6,5,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"584","Marie",6,5,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"585","Sandy",6,5,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"586","Stu",6,5,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"587","Flora",6,6,2,"Apricot and Rosemary Frangipane Tart","Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"588","Ian",6,6,3,"Pear and Raspberry Frangipane Tart","vol-au-vents Terre et Mer","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"589","Nadiya",6,6,4,"Bay Leaf, Rong Tea and Pear Tart","Bengali Korma and Clementine with Cod Vol-au-vents","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"590","Paul",6,6,5,"Christmas Frangipane Tart","Savoury and Sweet Bouchées","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"591","Tamal",6,6,7,"Spiced Pear Frangipane Tart","Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"592","Alvin",6,6,6,"Plum Frangipane Tart","Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents","OUT","Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"593","Mat",6,6,1,"Piña Colada Frangipane Tart","His 'n' Hers Vol-au-vents","STAR BAKER","Mat Riley",37,"Fire fighter","London"
"594","Dorret",6,6,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"595","Marie",6,6,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"596","Sandy",6,6,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"597","Stu",6,6,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"598","Ugnė",6,6,NA,NA,NA,NA,"Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"599","Flora",6,7,4,"Game Pie with Shallot and Apple Chutney","Raspberry, Pomegranate and Champagne Charlotte Russe","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"600","Ian",6,7,5,"Roadkill Pie","Victoria's Crown Charlotte Russe","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"601","Nadiya",6,7,1,"Aromatic Raised Game Pie","Mango and Raspberry Charlotte Russe","IN","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"602","Paul",6,7,2,"Not a Boaring Pie","Charlotte Rose","IN","Paul Jagger",49,"Prison governor","Swansea, Wales"
"603","Mat",6,7,6,"Raised Venison and Pigeon Pie","Strawberry Charlotte Russe","OUT","Mat Riley",37,"Fire fighter","London"
"604","Tamal",6,7,3,"Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe","STAR BAKER","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"605","Alvin",6,7,NA,NA,NA,NA,"Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"606","Dorret",6,7,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"607","Marie",6,7,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"608","Sandy",6,7,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"609","Stu",6,7,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"610","Ugnė",6,7,NA,NA,NA,NA,"Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"611","Flora",6,8,3,"Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne","IN","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"612","Ian",6,8,2,"Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"613","Tamal",6,8,4,"Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"614","Paul",6,8,5,"Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne","OUT","Paul Jagger",49,"Prison governor","Swansea, Wales"
"615","Nadiya",6,8,1,"Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne","STAR BAKER","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"616","Alvin",6,8,NA,NA,NA,NA,"Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"617","Dorret",6,8,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"618","Marie",6,8,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"619","Mat",6,8,NA,NA,NA,NA,"Mat Riley",37,"Fire fighter","London"
"620","Sandy",6,8,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"621","Stu",6,8,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"622","Ugnė",6,8,NA,NA,NA,NA,"Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"623","Ian",6,9,3,"Chocolate and Bay Tart","Chocolate Well","IN","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"624","Tamal",6,9,2,"Chocolate New York Pie","Chocolate Bell Tower","IN","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"625","Flora",6,9,1,"Passion Fruit and Chocolate Tart","Cocoa Carousel","OUT","Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"626","Nadiya",6,9,4,"Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door","STAR BAKER","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"627","Alvin",6,9,NA,NA,NA,NA,"Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"628","Dorret",6,9,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"629","Marie",6,9,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"630","Mat",6,9,NA,NA,NA,NA,"Mat Riley",37,"Fire fighter","London"
"631","Paul",6,9,NA,NA,NA,NA,"Paul Jagger",49,"Prison governor","Swansea, Wales"
"632","Sandy",6,9,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"633","Stu",6,9,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"634","Ugnė",6,9,NA,NA,NA,NA,"Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"635","Ian",6,10,2,"Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake","Runner-up","Ian Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire"
"636","Tamal",6,10,3,"Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake","Runner-up","Tamal Ray",29,"Trainee anaesthetist","Manchester"
"637","Nadiya",6,10,1,"Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake","WINNER","Nadiya Hussain",30,"Full-time mother","Leeds / Luton"
"638","Alvin",6,10,NA,NA,NA,NA,"Alvin Magallanes",37,"Nurse","Bracknell, Berkshire"
"639","Dorret",6,10,NA,NA,NA,NA,"Dorret Conway",53,"Accountant","Penwortham, Lancashire"
"640","Flora",6,10,NA,NA,NA,NA,"Flora Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross"
"641","Marie",6,10,NA,NA,NA,NA,"Marie Campbell",66,"Retired","Auchterarder, Perthshire"
"642","Mat",6,10,NA,NA,NA,NA,"Mat Riley",37,"Fire fighter","London"
"643","Paul",6,10,NA,NA,NA,NA,"Paul Jagger",49,"Prison governor","Swansea, Wales"
"644","Sandy",6,10,NA,NA,NA,NA,"Sandy Docherty",49,"Child welfare officer","Yeadon, West Yorkshire"
"645","Stu",6,10,NA,NA,NA,NA,"Stu Henshall",35,"Professional musician","Guildford, Surrey"
"646","Ugnė",6,10,NA,NA,NA,NA,"Ugnė Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania"
"647","Andrew",7,1,12,"Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"648","Benjamina",7,1,6,"Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"649","Candice",7,1,5,"Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"650","Kate",7,1,4,"Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake","IN","Kate Barmby",37,"Nurse","Brooke, Norfolk"
"651","Louise",7,1,9,"Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake","IN","Louise Williams",46,"Hairdresser","Cardiff"
"652","Michael",7,1,3,"Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze","IN","Michael Georgiou",20,"Student","Durham"
"653","Rav",7,1,8,"Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake","IN","Rav Bansal",28,"Student support","Erith"
"654","Selasi",7,1,1,"Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake","IN","Selasi Gbormittah",30,"Client service associate","London"
"655","Tom",7,1,2,"G&T Drizzle Cake","Black Forest Broken Mirror","IN","Tom Gilliford",26,"Project engagement manager","Rochdale"
"656","Val",7,1,10,"Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting","IN","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"657","Lee",7,1,11,"St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake","OUT","Lee Banfield",67,"Pastor","Bolton"
"658","Jane",7,1,7,"Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake","STAR BAKER","Jane Beedle",61,"Garden designer","Beckenham"
"659","Andrew",7,2,4,"Beehive Biscuits","Punting in Cambridge","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"660","Benjamina",7,2,3,"Bouquet Biscuits","New York, New York","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"661","Jane",7,2,2,"Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat","IN","Jane Beedle",61,"Garden designer","Beckenham"
"662","Kate",7,2,1,"""A Biscuit for the Broads""","""I Promise I will do my best""","IN","Kate Barmby",37,"Nurse","Brooke, Norfolk"
"663","Michael",7,2,9,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland","IN","Michael Georgiou",20,"Student","Durham"
"664","Rav",7,2,6,"Union Jack Bunting Biscuits","Gingerbread Christmas Fairground","IN","Rav Bansal",28,"Student support","Erith"
"665","Selasi",7,2,11,"""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church","IN","Selasi Gbormittah",30,"Client service associate","London"
"666","Tom",7,2,7,"Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience","IN","Tom Gilliford",26,"Project engagement manager","Rochdale"
"667","Val",7,2,5,"Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire","IN","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"668","Louise",7,2,10,"Baa Bara Brith Biscuits","Gingerbread Wedding","OUT","Louise Williams",46,"Hairdresser","Cardiff"
"669","Candice",7,2,8,"Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet","STAR BAKER","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"670","Lee",7,2,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"671","Andrew",7,3,2,"Chocolate Barmbrack Bread","Braided Harvest Bread Basket","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"672","Benjamina",7,3,6,"Chocolate, Tahini and Almond Babka","Braided Bread Heart","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"673","Candice",7,3,3,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"674","Jane",7,3,9,"Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre","IN","Jane Beedle",61,"Garden designer","Beckenham"
"675","Kate",7,3,8,"Cobbled Loaf","The Corn Maiden","IN","Kate Barmby",37,"Nurse","Brooke, Norfolk"
"676","Rav",7,3,10,"Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece","IN","Rav Bansal",28,"Student support","Erith"
"677","Selasi",7,3,5,"Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread","IN","Selasi Gbormittah",30,"Client service associate","London"
"678","Val",7,3,1,"Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""","IN","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"679","Michael",7,3,7,"Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous","OUT","Michael Georgiou",20,"Student","Durham"
"680","Tom",7,3,4,"Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir","STAR BAKER","Tom Gilliford",26,"Project engagement manager","Rochdale"
"681","Lee",7,3,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"682","Louise",7,3,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"683","Andrew",7,4,4,"Yorkshire 'Tapas' Puddings","Churros Window Box","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"684","Candice",7,4,2,"Yorkshire Wellingtons","Two-Way Peanut Butter Churros","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"685","Jane",7,4,3,"Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros","IN","Jane Beedle",61,"Garden designer","Beckenham"
"686","Rav",7,4,9,"Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros","IN","Rav Bansal",28,"Student support","Erith"
"687","Selasi",7,4,8,"Perfect Sunday Roast Accompaniment","Lemon and Anise Churros","IN","Selasi Gbormittah",30,"Client service associate","London"
"688","Tom",7,4,5,"West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass","IN","Tom Gilliford",26,"Project engagement manager","Rochdale"
"689","Val",7,4,6,"Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros","IN","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"690","Kate",7,4,7,"Christmas Dinner Compromise","Hot Cross Bunny Churros","OUT","Kate Barmby",37,"Nurse","Brooke, Norfolk"
"691","Benjamina",7,4,1,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros","STAR BAKER","Benjamina Ebuehi",23,"Teaching assistant","South London"
"692","Lee",7,4,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"693","Louise",7,4,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"694","Michael",7,4,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"695","Andrew",7,5,6,"Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"696","Benjamina",7,5,5,"'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"697","Jane",7,5,1,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones","IN","Jane Beedle",61,"Garden designer","Beckenham"
"698","Rav",7,5,8,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas","IN","Rav Bansal",28,"Student support","Erith"
"699","Selasi",7,5,3,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups","IN","Selasi Gbormittah",30,"Client service associate","London"
"700","Tom",7,5,4,"Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche","IN","Tom Gilliford",26,"Project engagement manager","Rochdale"
"701","Val",7,5,7,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels","OUT","Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"702","Candice",7,5,2,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups","STAR BAKER","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"703","Kate",7,5,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"704","Lee",7,5,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"705","Louise",7,5,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"706","Michael",7,5,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"707","Andrew",7,6,6,"Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio","IN","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"708","Benjamina",7,6,2,"Grapefruit and Ginger Meringue Pie","Floral Tea Cake","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"709","Candice",7,6,5,"Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"710","Jane",7,6,4,"Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar","IN","Jane Beedle",61,"Garden designer","Beckenham"
"711","Selasi",7,6,7,"Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake","IN","Selasi Gbormittah",30,"Client service associate","London"
"712","Rav",7,6,3,"Mandarin Margarita Meringue Pie","Blossom Cake","OUT","Rav Bansal",28,"Student support","Erith"
"713","Tom",7,6,1,"Blood Orange Halloween Pumpkin Pie","Floral Tea Cake","STAR BAKER","Tom Gilliford",26,"Project engagement manager","Rochdale"
"714","Kate",7,6,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"715","Lee",7,6,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"716","Louise",7,6,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"717","Michael",7,6,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"718","Val",7,6,NA,NA,NA,NA,"Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
"719","Benjamina",7,7,3,"Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake","IN","Benjamina Ebuehi",23,"Teaching assistant","South London"
"720","Candice",7,7,2,"Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse","IN","Candice Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire"
"721","Jane",7,7,4,"Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses","IN","Jane Beedle",61,"Garden designer","Beckenham"
"722","Selasi",7,7,6,"Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes","IN","Selasi Gbormittah",30,"Client service associate","London"
"723","Tom",7,7,5,"Millionaire's Roulade","Hipster Picnic","OUT","Tom Gilliford",26,"Project engagement manager","Rochdale"
"724","Andrew",7,7,1,"Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes","STAR BAKER","Andrew Smyth",25,"Aerospace engineer","Derby / Holywood, County Down"
"725","Kate",7,7,NA,NA,NA,NA,"Kate Barmby",37,"Nurse","Brooke, Norfolk"
"726","Lee",7,7,NA,NA,NA,NA,"Lee Banfield",67,"Pastor","Bolton"
"727","Louise",7,7,NA,NA,NA,NA,"Louise Williams",46,"Hairdresser","Cardiff"
"728","Michael",7,7,NA,NA,NA,NA,"Michael Georgiou",20,"Student","Durham"
"729","Rav",7,7,NA,NA,NA,NA,"Rav Bansal",28,"Student support","Erith"
"730","Val",7,7,NA,NA,NA,NA,"Val Stones",66,"Semi-retired, Substitute teacher","Yeovil"
