"","baker","series","episode","technical","signature_bake","show_stopper","result","baker_name","baker_age","baker_occupation","hometown"
"110","Joanne",2,5,6,"Salmon and Asparagus Pie","Apple and Raspberry Meringue Pie","IN",NA,NA,NA,NA
"111","Mary-Anne",2,5,2,"Chicken and Bacon Pie","Midnight Meringue","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"112","Yasmin",2,5,5,"Family Fish Pie","Peach and Raspberry Meringue Pie","IN","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"113","Jason",2,5,7,"Brown Down Chicken Pie","Plum Meringue Pie","OUT","Jason White",19,"Civil Engineering Student","Croydon"
"114","Robert",2,5,3,"Chicken and Mushroom Pie","Rhubarb and Custard Meringue Pie","OUT","Robert Billington",25,"Photographer","London"
"115","Janet",2,5,1,"Chicken and Chestnut Pie","Rhubarb Meringue Pie","STAR BAKER","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"116","Ben",2,5,NA,NA,NA,NA,"Ben Frazer",31,"Graphic Designer","Northampton"
"117","Ian",2,5,NA,NA,NA,NA,"Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"118","Keith",2,5,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"119","Simon",2,5,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"120","Urvashi",2,5,NA,NA,NA,NA,"Urvashi Roe",40,"Head of Marketing","Enfield, London"
"121","Holly",2,6,3,"Father Christmas' Baked Cheesecake","Hansel and Gretel's Croquembouche","IN","Holly Bell",31,"Advertising executive","Leicester"
"122","Janet",2,6,5,"Rhubarb and Ginger Baked Cheesecake","Orange and Nougatine Croquembouche","IN","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"123","Mary-Anne",2,6,4,"Tutti Fruitti Curd Baked Cheesecake","Orange and Praline Croquembouche with Cardamom Caramel","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"124","Yasmin",2,6,2,"Baked Amaretto Cheesecake","Rose Croquembouche","OUT","Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"125","Joanne",2,6,1,"Rum and Raisin Baked Cheesecake","Limoncello and White Chocolate Croquembouche","STAR BAKER",NA,NA,NA,NA
"126","Ben",2,6,NA,NA,NA,NA,"Ben Frazer",31,"Graphic Designer","Northampton"
"127","Ian",2,6,NA,NA,NA,NA,"Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"128","Jason",2,6,NA,NA,NA,NA,"Jason White",19,"Civil Engineering Student","Croydon"
"129","Keith",2,6,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"130","Robert",2,6,NA,NA,NA,NA,"Robert Billington",25,"Photographer","London"
"131","Simon",2,6,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"132","Urvashi",2,6,NA,NA,NA,NA,"Urvashi Roe",40,"Head of Marketing","Enfield, London"
"133","Holly",2,7,1,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits","IN","Holly Bell",31,"Advertising executive","Leicester"
"134","Joanne",2,7,3,"Raspberry & Strawberry Mousse Cake","Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries","IN",NA,NA,NA,NA
"135","Mary-Anne",2,7,2,"Chocolate and Orange Mousse Cake","Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes","IN","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"136","Janet",2,7,4,"Chocolate Amaretto Mousse Cake","Pain Aux RaisinPlain CroissantPain Au Chocolat","OUT","Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"137","Ben",2,7,NA,NA,NA,NA,"Ben Frazer",31,"Graphic Designer","Northampton"
"138","Ian",2,7,NA,NA,NA,NA,"Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"139","Jason",2,7,NA,NA,NA,NA,"Jason White",19,"Civil Engineering Student","Croydon"
"140","Keith",2,7,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"141","Robert",2,7,NA,NA,NA,NA,"Robert Billington",25,"Photographer","London"
"142","Simon",2,7,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"143","Urvashi",2,7,NA,NA,NA,NA,"Urvashi Roe",40,"Head of Marketing","Enfield, London"
"144","Yasmin",2,7,NA,NA,NA,NA,"Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"145","Holly",2,8,2,"Banoffee Inspired Mille Feuille","Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich","Runner-up","Holly Bell",31,"Advertising executive","Leicester"
"146","Mary-Anne",2,8,3,"Lemon and Ginger Mille Feuille","Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub","Runner-up","Mary-Anne Boermans",45,"Housewife","Kidderminster, Worcestershire"
"147","Joanne",2,8,1,"Raspberry and Blueberry Mille Feuille","Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse","WINNER",NA,NA,NA,NA
"148","Ben",2,8,NA,NA,NA,NA,"Ben Frazer",31,"Graphic Designer","Northampton"
"149","Ian",2,8,NA,NA,NA,NA,"Ian Vallance",40,"Fundraiser for English Heritage","Dunstable, Bedfordshire"
"150","Janet",2,8,NA,NA,NA,NA,"Janet Basu",63,"Teacher of Modern Languages","Formby, Liverpool"
"151","Jason",2,8,NA,NA,NA,NA,"Jason White",19,"Civil Engineering Student","Croydon"
"152","Keith",2,8,NA,NA,NA,NA,"Keith Batsford",31,"House husband","Arlesey, Bedfordshire"
"153","Robert",2,8,NA,NA,NA,NA,"Robert Billington",25,"Photographer","London"
"154","Simon",2,8,NA,NA,NA,NA,"Simon Blackwell",31,"Rugby Coach","Norfolk"
"155","Urvashi",2,8,NA,NA,NA,NA,"Urvashi Roe",40,"Head of Marketing","Enfield, London"
"156","Yasmin",2,8,NA,NA,NA,NA,"Yasmin Limbert",43,"Childminder","West Kirby, The Wirral"
"157","Brendan",3,1,10,"Plum, Sour Cherry & Walnut",NA,"IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"158","Cathryn",3,1,5,"Apple, Hazelnut and Calvados","Hidden Cupcake Cake","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"159","Danny",3,1,7,"Plum, Ginger & Orange",NA,"IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"160","James",3,1,2,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"161","John",3,1,11,"Toffee Apple, Orange & Cranberry","Hidden Pink Hearts Cake","IN","John Whaite",22,"Law student","Wigan"
"162","Manisha",3,1,6,"Vanilla, Peach and Raspberry","White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart","IN","Manisha Parmar",27,"Nursery nurse","Leicester"
"163","Peter",3,1,3,"Pear, Muscat & Chocolate","Jubilee Cake","IN","Peter Maloney",43,"Sales manager","Windsor, Berkshire"
"164","Ryan",3,1,8,"Kumquat and Orange Polenta","Hidden Flowerbed Mousse Cake","IN","Ryan Chong",38,"Photographer","Bristol"
"165","Sarah-Jane",3,1,1,"Pear, Chocolate and Hazelnut","Hidden Crown Cake","IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
"166","Stuart",3,1,9,"Tomato and Ginger","Lemon and Pistachio Union Flag Cake","IN","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire"
"167","Natasha",3,1,12,"Pineapple & Passion Fruit","Mother's Day Layered Rose Cake","OUT","Natasha Stringer",36,"Midwife","Tamworth, Staffordshire"
"168","Victoria",3,1,4,"Pear and Pecan","Blackbird Pie Cake","STAR BAKER","Victoria Chester",50,"CEO of the charity Plantlife","Somerset"
"169","Brendan",3,2,4,"Middle Eastern Taboon BreadIndian Rotis","Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels","IN","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield"
"170","Cathryn",3,2,8,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels","IN","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex"
"171","Danny",3,2,3,"Lime Coriander and Coconut TortillasZaatar Naan with Dukkah",NA,"IN","Danny Bryden",45,"Intensive care consultant","Sheffield"
"172","James",3,2,2,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels","IN","James Morton",21,"Medical student","Hillswick, Shetland Islands"
"173","Manisha",3,2,6,"Indian FlatbreadsItalian Flatbreads",NA,"IN","Manisha Parmar",27,"Nursery nurse","Leicester"
"174","Ryan",3,2,5,"Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan","Cinnamon and Date Bagels
Tarragon and Rosemary Bagels","IN","Ryan Chong",38,"Photographer","Bristol"
"175","Sarah-Jane",3,2,10,"Toasted Coconut and Lime RotisOatcakes",NA,"IN","Sarah-Jane Willis",28,"Vicar's wife","Bewbush, West Sussex"
